day;month;year;address;bus;strings;stringid;produces_day;pac_max;whday_offset
1;2;2018;2;2;2;2;17247;5235;0
2;2;2018;2;2;2;2;29109;7895;0
3;2;2018;2;2;2;2;26425;11382;0
4;2;2018;2;2;2;2;38925;9241;0
5;2;2018;2;2;2;2;15901;7218;0
6;2;2018;2;2;2;2;24537;6103;0
7;2;2018;2;2;2;2;6254;2119;0
8;2;2018;2;2;2;2;2347;494;0
9;2;2018;2;2;2;2;7056;2202;0
10;2;2018;2;2;2;2;17004;5446;0
11;2;2018;2;2;2;2;20394;5056;0
12;2;2018;2;2;2;2;29738;9409;0
13;2;2018;2;2;2;2;38159;12791;0
14;2;2018;2;2;2;2;41827;12813;0
15;2;2018;2;2;2;2;6253;2497;0
16;2;2018;2;2;2;2;16896;7814;0
17;2;2018;2;2;2;2;8718;2853;0
18;2;2018;2;2;2;2;4896;1627;0
19;2;2018;2;2;2;2;11477;2558;0
20;2;2018;2;2;2;2;13353;3018;0
21;2;2018;2;2;2;2;16295;5976;0
22;2;2018;2;2;2;2;5087;1123;0
23;2;2018;2;2;2;2;6770;1274;0
24;2;2018;2;2;2;2;15977;5710;0
25;2;2018;2;2;2;2;57300;13055;0
26;2;2018;2;2;2;2;74683;12880;0
27;2;2018;2;2;2;2;46253;11081;0
28;2;2018;2;2;2;2;71791;13572;0
